ID;label;Anzahl_global
1;#1;5
2;#2016;1
3;#2A;4
4;#60Minutes;1
5;#ADA;1
6;#AIDSFreeGeneration;1
7;#AIPAC2016;1
8;#ALConvention2016;1
9;#APAHM;1
10;#AZ;1
11;#AZPrimary;3
12;#ActOnClimate;2
13;#AlwaysTrump;2
14;#AmericaFIRST;1
15;#AmericaFirst;61
16;#AmericaGreatAgain;1
17;#AmericanSamoa;1
18;#Arizona;1
19;#ArizonaPrimary;2
20;#ArmedForcesDay;1
21;#ArmyBDay;1
22;#AsLongAsItTakes;1
23;#Benghazi;1
24;#BikersForTrump;1
25;#BlackMenForBernie;1
26;#BlackWomensEqualPay;1
27;#BlacksForTrump;1
28;#Brexit;1
29;#BrexitVote;4
30;#Brussels;1
31;#BuildTheWall;1
32;#Bush;1
33;#CA4Trump;1
34;#CAPrimary;2
35;#CBNNews;1
36;#CNN;1
37;#CTPrimary;1
38;#Caribbean;1
39;#Carrier;1
40;#CaucusForTrump;8
41;#ChangeAgents;1
42;#Charleston9;1
43;#CincoDeMayo;1
44;#CitizensUnited;2
45;#Clinton;1
46;#ClintonKaine;2
47;#CoastGuardDay;1
48;#Colbert;1
49;#CommanderInChiefForum;1
50;#CommonCore;1
51;#CommonLaw;1
52;#CreatorsAskHRC;2
53;#CripTheVote;1
54;#CrookedHillary;14
55;#Cruz;1
56;#CruzFraud;1
57;#DACA;1
58;#DDay;2
59;#DEPrimary;1
60;#DNC;1
61;#DNCinPHL;1
62;#DavidCameron;1
63;#Debate;1
64;#DebateNight;33
65;#Debates2016;14
66;#Decision2016;1
67;#DeclareYourAmbition;1
68;#DefendtheSecond;1
69;#DemConvention;14
70;#DemPlatform;4
71;#DemocraticSitIn;1
72;#DemsInPHL;3
73;#DemsInPhilly;51
74;#DemsinPHL;1
75;#DemsinPhilly;2
76;#Derp;1
77;#DisarmHate;3
78;#DivoDeJuarez;1
79;#Diwali;1
80;#Donald;1
81;#DonaldTrump;1
82;#ECONOMY;1
83;#EarthDay;1
84;#EastVillage;1
85;#EauClaire;1
86;#ElectionDay;1
87;#Elkhart;1
88;#EndCommonCore;1
89;#EndGunViolence;1
90;#Enjoy;1
91;#Enough;1
92;#EstoyConElla;2
93;#Excellent;1
94;#FAIL;1
95;#FITN;24
96;#FNS;1
97;#FallonTonight;1
98;#FeelTheBern;1
99;#FightForFamilies;3
100;#Filibuster;1
101;#FirstInPOTUS;1
102;#FlashbackFriday;1
103;#Ford;1
104;#Fox;1
105;#FoxNews;3
106;#Frozen;1
107;#GIBill;1
108;#GO;1
109;#GOP;2
110;#GOPConvention;4
111;#GOPDebate;20
112;#GOPdebate;1
113;#GOPinCLE;1
114;#GPLFers;1
115;#GoldenGlobe;1
116;#GoodTrouble;1
117;#Greta;1
118;#GunViolence;1
119;#HRC4PA;1
120;#HaileyPuckett;1
121;#Hannity;3
122;#HarveyPitt;1
123;#Hillary2016;1
124;#HillaryClinton;1
125;#HillaryKaine2016;1
126;#HillaryOnCNN;1
127;#HillaryOnGMA;1
128;#HispanicHeritageMonth;1
129;#HistoryMade;1
130;#HoustonFlood;1
131;#IACaucus;15
132;#IAPolitics;1
133;#ICYMI;5
134;#INDPrimary;1
135;#INPrimary;10
136;#ISIS;1
137;#ImWithHer;18
138;#ImWithHernandez;1
139;#ImWithYou;48
140;#Imwithyou;2
141;#Indiana;1
142;#InternationalNursesDay;1
143;#Iowa;1
144;#IowaCaucus;2
145;#IranDeal;1
146;#JimmyFallon;1
147;#Jobs;1
148;#JohnRyder;1
149;#Jonas;1
150;#JuanGabriel;1
151;#JuntosSePuede;1
152;#KansasCaucus;1
153;#KenLangone;1
154;#KentuckyDerby;1
155;#KhizrKhan;1
156;#LAflood;1
157;#LESM;5
158;#LGBT;2
159;#LSSC;2
160;#LaborDay;2
161;#LaudatoSi;1
162;#Laurence;1
163;#LaurenceTribe;1
164;#LawandOrder;2
165;#LeadRight2016;1
166;#LibrarianOfCongress;1
167;#LightweightSenatorMarcoRubio;1
168;#LittleMarco;1
169;#LoneStarState;1
170;#LoveTrumpsHate;6
171;#LyingTed;2
172;#MAGA;58
173;#MAKEAMERICAGREATAGAIN;3
174;#MDPrimary;1
175;#MDW;1
176;#MSM;1
177;#MSNBCTownhall;2
178;#MSPrimary;1
179;#MadeForHistory;1
180;#MadeInAmerica;1
181;#Mahalo;1
182;#MaitnerStrong;1
183;#MakeAmericaGreatAgain;216
184;#MakeAmericaSafeAgain;3
185;#MakeYoutubeGreatAgain;1
186;#MaryBrigidMcManamon;2
187;#MattSchlapp;1
188;#MayDay;1
189;#Mediafraud;1
190;#MeetTheTrumps;1
191;#MegynKellyPresents;1
192;#MemorialDay;1
193;#Mexico;1
194;#MichaelBrown;1
195;#MichaelMoore;1
196;#MikePence;1
197;#MoreInCommon;1
198;#Mormon;1
199;#MorningJoe;1
200;#MothersDay;1
201;#MothersoftheMovement;1
202;#MyTeacherIsWeird;1
203;#NAACP107;1
204;#NABJNAHJ16;1
205;#NASCAR;1
206;#NATO;2
207;#NBCNewsForum;12
208;#NHPolitics;2
209;#NHPrimary;6
210;#NPS100;2
211;#NVcaucus;1
212;#NYCPride;1
213;#NYPrimary;9
214;#NationalVoterRegistrationDay;7
215;#NaturalBorn;1
216;#NebraskaPrimary;1
217;#NeilCavuto;1
218;#NetNeutrality;1
219;#NevadaCaucus;4
220;#NeverCruz;1
221;#NeverDems;1
222;#NeverForget;1
223;#NeverHillary;6
224;#NeverTrump;3
225;#NewDay;1
226;#NewHampshire;1
227;#NewYork;1
228;#NewYorkValues;6
229;#NoBillNoBreak;8
230;#NoLoyalty;1
231;#NoMoreSilence;2
232;#NotOneMore;1
233;#OHHillYes;1
234;#ORPrimary;1
235;#ObamaCare;3
236;#Obamacare;4
237;#Olmstead;1
238;#OnTheRecord;1
239;#OpeningCeremony;1
240;#OpioidAwarenessWeek;1
241;#Orlando;1
242;#OrlandoUnited;2
243;#PAPrimary;2
244;#POTUS;7
245;#PhilandoCastile;1
246;#Politician;1
247;#Polls;1
248;#PrimaryDay;6
249;#Prince;1
250;#Pulse;1
251;#PurpleHeartDay;1
252;#RIP;1
253;#RIPrimary;2
254;#RNC;1
255;#RNCINCLE;1
256;#RNCInCLE;3
257;#RNCinCLE;56
258;#RNCwithBernie;1
259;#ROGERAILES;1
260;#RTM2016;1
261;#Racine;1
262;#RepMikeKelly;1
263;#RestoreTheVRA;2
264;#RiggedSystem;1
265;#Rio2016;1
266;#RobotRubio;1
267;#RogerStone;1
268;#RollCallVote;2
269;#RosanellEaton;1
270;#Rubio;1
271;#SB50;1
272;#SCOTUS;4
273;#SCPrimary;7
274;#SOTU;2
275;#SallyRideDay;1
276;#SaveElephants;1
277;#SayHerName;1
278;#SecondAmendment;1
279;#SheWon;5
280;#ShesWithUs;1
281;#SmallBizWeek;1
282;#SouthCarolina;1
283;#SouthCarolinaPrimary;1
284;#Srebrenica;1
285;#StandTogether;1
286;#StandWithLouisiana;1
287;#StanleyCup;1
288;#Statehood;1
289;#StopCommonCore;1
290;#StopGunViolence;3
291;#StoptheHate;2
292;#StrongerTogether;7
293;#SuperBowlSunday;1
294;#SuperSaturday;2
295;#SuperTuesday;19
296;#TBT;11
297;#TPP;1
298;#TRUMP;1
299;#TRUMP2016;1
300;#TRUMPDOG;1
301;#TeacherAppreciationDay;1
302;#Teachers4Trump;1
303;#TeamTrump;4
304;#TeamUSA;1
305;#Ted;1
306;#TedCruz;2
307;#TerenceCrutcher;1
308;#ThankAVet;1
309;#ThanksObama;1
310;#TheDonald;1
311;#TheTonightShow;1
312;#TitleIX;1
313;#Trump;8
314;#Trump2016;309
315;#Trump360;1
316;#Trump4President;1
317;#Trump4Vets;1
318;#TrumpCountry;1
319;#TrumpDallas;1
320;#TrumpForPresident;1
321;#TrumpIsWithYou;1
322;#TrumpLV;1
323;#TrumpMovement;1
324;#TrumpNV;1
325;#TrumpPence16;23
326;#TrumpPence2016;2
327;#TrumpSupporters;1
328;#TrumpTrain;32
329;#TrumpWaikiki;1
330;#TrumpWon;2
331;#TrumpYourself;4
332;#TrumpinEverett;1
333;#Turkey;1
334;#TurnUpToVote;1
335;#UAW;1
336;#UNGA;1
337;#UPUPUP;1
338;#USA;1
339;#USMC2016;1
340;#UT;1
341;#UTCaucus;2
342;#UnderstandSlavery;1
343;#Utah;2
344;#Utah4Trump;1
345;#UtahCaucus;2
346;#UtahPrimary;1
347;#VirWINia;2
348;#VoteTrump;62
349;#VoteTrump2016;2
350;#VoteTrumpIL;1
351;#VoteTrumpMA;1
352;#VoteTrumpMI;2
353;#VoteTrumpNC;1
354;#VoteTrumpNH;7
355;#VoteTrumpNV;7
356;#VoteTrumpNY;3
357;#VoteTrumpSC;9
358;#VoteTrumpVT;1
359;#VoteTrumpWI;1
360;#VoterFraud;1
361;#VoterRegistrationDay;1
362;#VotersSpeak;1
363;#WATCH;1
364;#WCS16;1
365;#WH;1
366;#WHCD;1
367;#WHD;1
368;#WIBackHer;1
369;#WIPrimary;13
370;#WISCONSIN;1
371;#WOMEN4TRUMP;1
372;#WORK;1
373;#WakeUpAmerica;2
374;#WashingtonDC;1
375;#WattersWorld;1
376;#Wausau;1
377;#WeAreBernie;1
378;#WeMadeHistory;4
379;#WeTrumpHate;1
380;#WeWantTrump;1
381;#WestVirginia;1
382;#WesternTuesday;1
383;#WheresHillary;1
384;#Wimbledon;1
385;#Wisconsin;2
386;#With_Cruz_you_lose;1
387;#WomanCard;7
388;#Women4Ttump;1
389;#WomensEqualityDay;4
390;#WorldRefugeeDay;1
391;#YUGE;1
392;#YouthDay;1
393;#brexit;1
394;#campaignfinance;1
395;#debate;4
396;#debatenight;19
397;#dtmag;1
398;#election2016;1
399;#enough;1
400;#extremevetting;1
401;#fairandbalancedmyass;1
402;#fixdemocracyfirst;1
403;#goodtrouble;1
404;#gunviolence;1
405;#holdthefloor;1
406;#iRegistered;1
407;#iVoted;1
408;#imwithher;1
409;#imwithyou;1
410;#jenniferrubin;1
411;#laurencetribe;1
412;#makeamericagreatagain;1
413;#makersandtakers;1
414;#media;1
415;#polls;1
416;#presidenttrump;1
417;#primary;1
418;#sendDonaldtospace;1
419;#sitin;2
420;#slipping;1
421;#smallbiz;2
422;#taxplan;1
423;#trump;2
424;#trump2016;3
425;#ugpride2016;1
426;#vaticanwalls;1
427;#veterans;1
428;#voteTrump;1
429;#womancard;1